Uid,Order_Date,Order_Id,Pay_Type,Pay_Amt,Is_Discount
6020116,2018/2/3 15:56,7677544280,3,470.9239333,1
6214115,2018/2/24 23:56,1856052322,4,915.9170426,0
5816114,2018/2/19 2:16,6800694355,9,885.966436,0
5014114,2018/2/25 3:09,6095682035,11,768.9207923,0
6214120,2018/2/22 12:02,8628365634,12,976.6834086,0
5720115,2018/2/4 5:15,8581490814,10,1151.839654,1
3618113,2018/2/6 0:57,7168266445,12,760.4989532,0
5214117,2018/2/23 15:44,6574688512,12,533.8646516,0
4320117,2018/2/19 21:15,1777588949,8,799.4142704,1
3514114,2018/2/20 18:05,7059336064,6,925.0844693,0
5718112,2018/2/25 16:44,3801872030,9,515.1584204,0
4117120,2018/2/12 0:41,3208298512,6,191.4651263,0
5012120,2018/2/13 6:08,3150788749,1,825.7220319,0
3915112,2018/2/3 8:51,7955628514,10,543.4210682,0
4717112,2018/2/24 2:04,1512612564,8,984.3471466,0
6615120,2018/2/1 6:10,7727752766,3,931.6534552,0
6313117,2018/2/26 14:12,1948894976,8,326.8018935,0
6513116,2018/2/17 1:54,7178488925,2,752.2278808,0
5119119,2018/2/23 10:55,4464183634,9,887.1225368,0
5217111,2018/2/13 13:27,8004781036,11,508.381639,1
3911114,2018/2/4 4:49,4672018467,8,964.938416,0
3420117,2018/2/26 9:50,8381319396,5,824.3281214,0
5820119,2018/2/17 4:30,3133855850,4,639.0849663,0
5512111,2018/2/2 15:43,4851083524,8,917.2460129,1
3920114,2018/2/27 11:49,6745952362,11,619.8818783,1
5619120,2018/2/2 5:23,3855526352,12,278.426152,0
3911112,2018/2/10 10:13,5202489242,10,195.1756888,0
6312119,2018/2/26 5:09,2569960478,4,406.5570895,0
4114113,2018/2/23 13:33,4272379490,6,673.2595434,1
5419120,2018/2/28 3:57,4723527150,2,859.6201357,1
5218115,2018/2/8 8:02,1571928907,2,829.1334742,0
6116111,2018/2/17 11:48,6732144971,4,501.9462,1
5417119,2018/2/7 20:14,2973314198,12,689.6886655,0
6311120,2018/2/18 1:19,2193451919,9,377.6455479,0
6418112,2018/2/15 13:21,5448462574,2,1048.718066,1
4912111,2018/2/1 15:57,8842017004,3,605.5336193,0
5818118,2018/2/17 14:53,6331265538,9,567.6818813,1
5311119,2018/2/19 15:40,6399727797,5,787.8402353,0
4011111,2018/2/21 5:26,2541868113,10,526.6555471,0
5817115,2018/2/28 16:10,8400033875,7,608.5518916,0
5217120,2018/2/18 15:18,2137159884,6,856.9893536,0
5812111,2018/2/5 18:26,8087771299,12,331.8799661,0
4119116,2018/2/22 5:25,8796450433,6,964.4718196,0
5815114,2018/2/5 9:47,2793534652,10,391.3694742,0
3720114,2018/2/5 9:27,5019169105,1,334.0737014,1
6713119,2018/2/15 17:06,8769341821,10,368.2981558,1
6212117,2018/2/9 13:37,2258263702,6,202.7247933,1
5615116,2018/2/6 19:04,5590711746,3,721.6548816,1
6315116,2018/2/22 11:42,8214816555,2,589.1702118,0
5814113,2018/2/11 0:37,1101567924,4,1035.56614,0
4312115,2018/2/28 6:28,4997941818,6,145.6832442,1
4315119,2018/2/21 12:19,1101486883,11,724.2472542,1
4320119,2018/2/10 13:06,2848767691,5,597.5788133,0
4211117,2018/2/25 13:07,7797075659,4,45.93524368,0
3911116,2018/2/19 5:28,7993534901,11,265.6447537,0
3814114,2018/2/5 7:54,6809412506,12,260.778561,0
5414113,2018/2/27 14:41,5490258997,6,821.46468,0
5213116,2018/2/6 9:51,3389768578,4,434.6381575,0
6516111,2018/2/28 3:11,3466189825,8,560.7910673,0
6417111,2018/2/21 3:33,3122643197,2,1017.022918,1
4812118,2018/2/28 5:26,4303333180,7,579.8496757,1
4618113,2018/2/6 2:34,8049078020,12,1020.220241,0
6511117,2018/2/24 13:37,2007264102,2,233.7322008,1
3711111,2018/2/25 20:49,1715760984,7,810.8701531,0
5514112,2018/2/19 4:32,4009752823,4,683.1479866,0
3918117,2018/2/15 14:24,2856491240,12,311.3535122,1
3720116,2018/2/19 2:07,5114034193,8,460.9808531,0
4117115,2018/2/4 21:01,5243041665,3,234.3252611,1
4813118,2018/2/23 9:28,5286554907,2,615.9943853,0
5219119,2018/2/21 9:28,2371744464,3,723.6796669,0
4611118,2018/2/9 23:18,3641820514,7,655.2442695,0
6519119,2018/2/6 4:08,4190688920,9,419.0070209,0
3612114,2018/2/4 0:10,1292128461,8,1160.65972,0
4820119,2018/2/22 23:39,4142581674,7,493.3915187,1
5915112,2018/2/22 15:25,4776882144,8,577.3018552,1
3317118,2018/2/10 20:56,5578389050,8,904.0147167,0
3417113,2018/2/24 16:40,3203612829,12,558.1426921,1
3413114,2018/2/17 14:09,1836144260,9,246.8270297,0
3617116,2018/2/10 18:15,4324194161,5,567.5719905,0
5511117,2018/2/19 7:56,3901599595,2,660.6593608,1
3216114,2018/2/1 20:40,3385661539,4,888.7384672,0
3812120,2018/2/19 3:27,2425999969,6,548.6321262,0
5317116,2018/2/2 11:47,4494074729,9,196.5772976,0
5516117,2018/2/2 8:39,8378533640,7,599.4280958,0
5213112,2018/2/16 2:08,6996674180,4,164.3316261,0
6015111,2018/2/7 16:44,6280495003,12,920.8583348,1
4218113,2018/2/23 6:03,5284723779,1,537.9928953,1
5115119,2018/2/8 11:00,8881097802,4,180.0676239,0
4614116,2018/2/4 4:04,2065253105,1,666.5909417,1
4914118,2018/2/13 1:09,6064029843,10,477.9893432,0
4516117,2018/2/6 19:38,6531618049,12,601.8244413,0
3320117,2018/2/3 2:38,6861532690,6,307.27074,0
4611116,2018/2/24 10:49,5243913292,9,704.8139978,1
4116120,2018/2/25 16:50,6214998619,10,363.8615022,0
4620113,2018/2/9 7:02,2919517378,1,256.8213466,0
6519120,2018/2/26 0:22,4707138415,5,657.6751464,0
3914120,2018/2/5 10:55,3244516650,9,346.2647069,0
3813118,2018/2/8 21:08,3515966933,6,1060.736748,0
5819116,2018/2/23 2:31,6915869266,4,652.1502361,1
3816120,2018/2/21 11:52,8019615515,12,1099.706698,0
3816117,2018/2/10 15:55,8273619387,7,778.2125454,1
6718118,2018/2/25 19:54,2572573805,12,699.7984363,0
4818111,2018/2/14 12:53,3164761149,1,709.2615799,1
3615116,2018/2/14 5:33,8993443974,12,468.7036034,0
6014118,2018/2/9 23:25,5042980891,1,671.6808992,0
5917112,2018/2/19 12:40,1075134110,4,979.4756953,0
3314117,2018/2/3 0:18,7435674176,11,844.7911612,1
3911113,2018/2/26 13:59,1817148083,10,776.1799677,0
5712112,2018/2/10 20:33,2097886993,2,549.8801306,0
3917120,2018/2/1 19:57,3267532619,4,115.1478964,0
3517114,2018/2/6 2:48,8494641170,11,415.8970206,0
6314113,2018/2/28 8:27,2063134117,7,940.3343096,0
4113119,2018/2/14 10:10,4052034188,1,117.3579476,1
5712115,2018/2/9 6:16,3437846223,5,572.8019354,0
6320112,2018/2/4 23:40,4994141929,10,480.2234767,0
6418114,2018/2/22 21:25,3040768514,12,1080.614081,1
5419116,2018/2/11 10:13,2974811893,2,472.1231177,1
6413116,2018/2/10 6:16,3902820315,2,349.2442858,0
5512112,2018/2/4 4:50,2936635886,3,266.8591206,0
4020117,2018/2/25 20:45,6237721603,6,199.6072312,1
5020113,2018/2/28 12:05,6932695320,11,751.8313737,0
3318111,2018/2/22 12:58,5932497572,1,782.5276326,0
6412115,2018/2/9 20:09,6517184873,8,952.8848425,0
6711111,2018/2/16 7:52,1492932078,8,476.459856,0
3212111,2018/2/12 14:34,4926544451,12,554.8917541,1
6017116,2018/2/9 19:12,6240466797,9,989.8200677,1
5016119,2018/2/8 0:08,3815068651,3,273.5816504,0
6717116,2018/2/21 4:59,8752716634,5,554.9562226,0
3716116,2018/2/2 18:24,7772265187,4,985.0567655,0
6513118,2018/2/9 7:15,8077558515,3,600.9784036,1
5613119,2018/2/18 12:12,7374539687,10,817.0627483,0
6211115,2018/2/1 5:40,7919616396,2,195.778367,1
3318118,2018/2/24 11:08,1190218232,6,813.0141906,0
3518118,2018/2/2 14:13,4077220497,8,467.8923471,1
5717118,2018/2/6 14:14,4595566554,8,574.3225787,1
3820119,2018/2/22 17:15,8097287481,6,365.932084,0
4520116,2018/2/23 5:43,5346764100,11,877.2724436,0
5012120,2018/2/3 16:55,7259459986,11,710.0915311,0
4819118,2018/2/16 4:47,8797464272,9,186.9840572,0
4613113,2018/2/3 11:09,3971093568,7,241.8266011,0
