city,time,wea,tem,wind,wind_level
长白山国家级自然保护区,周二（29日）,雪转多云,-8℃/-15℃,西风,3-4级转<3级
长白山国家级自然保护区,周三（30日）,晴,-7℃/-12℃,西风转西南风,3-4级转<3级
长白山国家级自然保护区,周四（31日）,晴转多云,-2℃/-8℃,西南风,<3级
长白山国家级自然保护区,周五（1日）,晴,1℃/-7℃,南风转西南风,<3级
长白山国家级自然保护区,周六（2日）,雪,-2℃/-13℃,西风转西南风,<3级
长白山国家级自然保护区,周日（3日）,雪,-5℃/-13℃,西风转南风,<3级
长白山国家级自然保护区,周一（4日）,雪转多云,-4℃/-11℃,西风转西南风,<3级
长白山国家级自然保护区,周二（5日）,雪,-3℃/-11℃,西北风转北风,<3级
九寨沟风景区,周二（29日）,阴转雨,11℃/1℃,西风转西南风,<3级
九寨沟风景区,周三（30日）,多云,11℃/2℃,东南风,<3级
九寨沟风景区,周四（31日）,多云,11℃/2℃,西风,<3级
九寨沟风景区,周五（1日）,雨转多云,11℃/3℃,东南风,<3级
九寨沟风景区,周六（2日）,雨,8℃/4℃,东南风转南风,<3级
九寨沟风景区,周日（3日）,雨转多云,10℃/4℃,南风,<3级
九寨沟风景区,周一（4日）,雨转多云,12℃/4℃,南风转西南风,<3级
九寨沟风景区,周二（5日）,多云转阴,12℃/6℃,东南风,<3级
丽江古城,周二（29日）,雨转多云,17℃/6℃,西南风转西风,<3级
丽江古城,周三（30日）,雨,18℃/5℃,西南风转西北风,<3级
丽江古城,周四（31日）,阴,17℃/5℃,西南风转西北风,<3级
丽江古城,周五（1日）,雨,16℃/4℃,南风转西风,<3级
丽江古城,周六（2日）,雨转多云,16℃/3℃,西南风,<3级
丽江古城,周日（3日）,多云,18℃/4℃,南风转西风,<3级
丽江古城,周一（4日）,多云转晴,18℃/5℃,西南风转西风,<3级
丽江古城,周二（5日）,雨,18℃/5℃,西南风转西风,<3级
武陵源风景名胜区,周二（29日）,晴转阴,18℃/8℃,南风转北风,<3级
武陵源风景名胜区,周三（30日）,阴转多云,19℃/8℃,东风转西北风,<3级
武陵源风景名胜区,周四（31日）,晴,20℃/10℃,西风转西北风,<3级
武陵源风景名胜区,周五（1日）,晴,21℃/10℃,东南风转东北风,<3级
武陵源风景名胜区,周六（2日）,多云,21℃/11℃,东风转北风,<3级
武陵源风景名胜区,周日（3日）,阴,19℃/9℃,东风转北风,<3级
