city,time,wea,tem,wind,wind_level
兰州,周二（29日）,晴转多云,17℃/2℃,无持续风向转西北风,<3级
兰州,周三（30日）,晴转多云,16℃/5℃,西北风转东北风,<3级
兰州,周四（31日）,阴转晴,14℃/5℃,东北风转西南风,<3级
兰州,周五（1日）,晴,14℃/5℃,东风转南风,<3级
兰州,周六（2日）,晴转多云,14℃/6℃,东南风,<3级
兰州,周日（3日）,多云,15℃/7℃,东南风,<3级
兰州,周一（4日）,多云,15℃/8℃,东南风转东风,<3级
兰州,周二（5日）,多云转阴,15℃/8℃,北风转东北风,<3级
海口,周二（29日）,小雨转多云,29℃/24℃,无持续风向转东北风,<3级转3-4级
海口,周三（30日）,雨转多云,26℃/23℃,东北风转北风,3-4级
海口,周四（31日）,阴,26℃/23℃,东北风,3-4级
海口,周五（1日）,阴,26℃/23℃,东北风,4-5级
海口,周六（2日）,阴,25℃/24℃,东风转东北风,4-5级
海口,周日（3日）,阴转雨,25℃/23℃,东北风转东风,4-5级
海口,周一（4日）,雨,25℃/23℃,东北风,4-5级转3-4级
海口,周二（5日）,多云,26℃/23℃,东风转东北风,3-4级转<3级
台北,周二（29日）,阴转雨,23℃/21℃,无持续风向转东北风,<3级转4-5级
台北,周三（30日）,雨,23℃/21℃,东北风,4-5级
台北,周四（31日）,雨,22℃/21℃,东北风,4-5级
台北,周五（1日）,雨,22℃/22℃,东北风,4-5级转3-4级
台北,周六（2日）,雨,23℃/21℃,东北风,4-5级
台北,周日（3日）,多云转雨,22℃/21℃,东北风,4-5级
台北,周一（4日）,雨转多云,22℃/21℃,东北风,4-5级转3-4级
台北,周二（5日）,多云,22℃/21℃,东北风,3-4级
澳门,周二（29日）,阵雨转雨,28℃/22℃,无持续风向转东北风,<3级转3-4级
澳门,周三（30日）,多云,26℃/21℃,东风转东北风,<3级转3-4级
澳门,周四（31日）,多云转阴,26℃/21℃,东北风,<3级转3-4级
澳门,周五（1日）,阴,26℃/22℃,东北风转东风,<3级
澳门,周六（2日）,阴,26℃/22℃,东风转东北风,3-4级
澳门,周日（3日）,阴转多云,26℃/22℃,东风,3-4级
澳门,周一（4日）,多云,25℃/21℃,东风转东北风,3-4级转<3级
澳门,周二（5日）,多云转晴,25℃/21℃,东风,<3级
香港,周二（29日）,多云转雨,28℃/22℃,无持续风向转东北风,3-4级
